Année;Numéro;Département;Code INSEE;Nom de la commune;Date de première alerte;Surface parcourue (m2);Surface forêt (m2);Surface maquis garrigues (m2);Autres surfaces naturelles hors forêt (m2);Surfaces agricoles (m2);Autres surfaces (m2);Surface autres terres boisées (m2);Surfaces non boisées naturelles (m2);Surfaces non boisées artificialisées (m2);Surfaces non boisées (m2);Précision des surfaces;Type de peuplement;Nature;Décès ou bâtiments touchés;Nombre de décès;Nombre de bâtiments totalement détruits;Nombre de bâtiments partiellement détruits;Précision de la donnée
2024;363;66;66140;Pézilla-la-Rivière;06/02/2024 10:37;3812;0;3812;0;0;0;;;;;Mesurées;;Involontaire (particulier);Non;;;;
2024;28838;07;07098;Gourdon;06/02/2024 11:30;10000;10000;0;0;0;0;;;;;Estimées;3;Involontaire (travaux);Non;;;;
2024;364;66;66058;Corneilla-la-Rivière;06/02/2024 12:11;8070;0;8070;0;0;0;;;;;Mesurées;;Involontaire (travaux);Non;;;;
2024;28676;07;07163;Montselgues;06/02/2024 14:52;180000;0;180000;0;0;0;;;;;Estimées;1;Involontaire (travaux);Non;;;;
2024;28851;07;07011;Vallées-d'Antraigues-Asperjoc;06/02/2024 19:15;30000;30000;0;0;0;0;;;;;Estimées;3;Involontaire (travaux);Non;;;;
2024;18879;15;15149;Paulhenc;07/02/2024 07:10;3000;3000;;0;0;0;;;;;Estimées;;Involontaire (travaux);Non;;;;
2024;19041;48;48194;Vialas;07/02/2024 14:07;150000;0;150000;0;0;0;;;;;Estimées;1;Involontaire (travaux);;;;;Données partielles ou non valides
2024;20554;11;11392;Tournissan;07/02/2024 14:15;21284;184;20000;0;1100;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;26997;40;40283;Saint-Vincent-de-Paul;07/02/2024 14:36;100;100;;0;0;0;;;;;Estimées;;Malveillance;Non;0;0;0;
2024;486;34;34228;Rieussec;07/02/2024 14:49;4021;0;4021;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;20555;11;11401;Tuchan;07/02/2024 15:07;6598;0;6598;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;27145;64;64320;Laruns;07/02/2024 15:13;244000;15300;;228700;0;0;;;;;Estimées;;Involontaire (travaux);Oui;1;0;0;
2024;20559;11;11265;Niort-de-Sault;07/02/2024 19:36;8100;7900;0;0;200;0;;;;;Mesurées;3;;Non;;;;
2024;360;06;06050;Coursegoules;08/02/2024 11:35;700;0;700;0;0;0;;;;;Estimées;;;Non;;;;
2024;398;2B;2B352;Ville-di-Paraso;08/02/2024 12:10;6000;0;6000;0;0;0;;;;;Estimées;;;Non;;;;
2024;19308;13;13001;Aix-en-Provence;08/02/2024 13:11;20;0;20;0;0;0;;;;;Estimées;1;;Non;;;;
2024;394;2B;2B242;Poggio-Mezzana;08/02/2024 13:12;60000;0;60000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;478;34;34056;Castelnau-de-Guers;08/02/2024 13:56;18366;0;18366;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;28718;07;07286;Saint-Pierreville;08/02/2024 14:12;1;1;0;0;0;0;;;;;Estimées;3;Naturelle;Non;;;;
2024;558;06;06156;Venanson;08/02/2024 15:35;83200;44300;38800;52;0;48;;;;;Mesurées;5;Malveillance;Non;;;;
2024;560;06;06156;Venanson;08/02/2024 15:35;14000;4700;9300;0;0;0;;;;;Mesurées;5;Malveillance;Non;;;;
2024;559;06;06156;Venanson;08/02/2024 15:35;79333;26290;53000;43;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;19042;48;48144;Sainte-Croix-Vallée-Française;08/02/2024 16:50;20200;19800;400;0;0;0;;;;;Mesurées;5;Involontaire (particulier);;;;;Données partielles ou non valides
2024;28675;07;07200;Le Roux;08/02/2024 17:20;50000;0;50000;0;0;0;;;;;Estimées;1;Involontaire (travaux);Non;;;;
2024;19043;48;48098;Molezon;08/02/2024 17:55;4500;500;0;4000;0;0;;;;;Estimées;1;Involontaire (particulier);Non;;;;
2024;19307;13;13059;Meyrargues;08/02/2024 18:07;40;0;40;0;0;0;;;;;Estimées;1;;Non;;;;
2024;473;34;34214;Pouzolles;08/02/2024 18:27;14903;0;14903;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;396;2B;2B179;Novale;08/02/2024 18:31;10000;0;10000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;27214;2A;2A041;Bonifacio;08/02/2024 18:43;1000;0;1000;0;0;0;;;;;Mesurées;;;Non;;;;
2024;29623;25;25321;Villers-le-Lac;08/02/2024 21:17;100;100;;0;0;0;;;;;Estimées;;;Non;0;0;0;
2024;19131;13;13055;Marseille;09/02/2024 03:25;50;0;50;0;0;0;;;;;Estimées;1;;Non;;;;
2024;379;66;66195;Le Soler;10/02/2024 14:01;1000;1000;0;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;19310;13;13001;Aix-en-Provence;11/02/2024 16:10;300;300;0;0;0;0;;;;;Estimées;1;Involontaire (particulier);Non;;;;
2024;466;34;34092;Cruzy;11/02/2024 18:47;1418;1418;0;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;28785;07;07334;Les Vans;12/02/2024 18:26;30;30;0;0;0;0;;;;;Estimées;3;Involontaire (travaux);Non;;;;
2024;548;2B;2B138;Lavatoggio;13/02/2024 18:16;2000;0;2000;0;0;0;;;;;Estimées;;;Non;;;;
2024;445;66;66166;Sahorre;14/02/2024 12:46;500;500;0;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;550;2B;2B242;Poggio-Mezzana;14/02/2024 14:55;300;0;300;0;0;0;;;;;Estimées;;;Non;;;;
2024;549;2B;2B234;Piobetta;14/02/2024 14:55;4500;0;4500;0;0;0;;;;;Estimées;;;Non;;;;
2024;20583;11;11110;Coustouge;15/02/2024 02:09;100;0;100;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;551;2B;2B096;Corte;15/02/2024 12:07;100;0;100;0;0;0;;;;;Estimées;;;Non;;;;
2024;554;2B;2B317;Santa-Reparata-di-Moriani;16/02/2024 11:22;30000;0;30000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;555;2B;2B083;Castirla;17/02/2024 05:35;50;0;50;0;0;0;;;;;Estimées;;;Non;;;;
2024;29617;25;25157;La Cluse-et-Mijoux;17/02/2024 14:11;100;100;;0;0;0;;;;;Estimées;;;Non;0;0;0;
2024;27215;2A;2A362;Zonza;17/02/2024 14:21;500;0;500;0;0;0;;;;;Mesurées;;Involontaire (particulier);Non;;;;
2024;19132;13;13055;Marseille;17/02/2024 15:09;100;0;100;0;0;0;;;;;Estimées;1;;Non;;;;
2024;29616;25;25056;Besançon;18/02/2024 00:11;100;100;;0;0;0;;;;;Estimées;;;Non;0;0;0;
2024;29615;25;25495;Roche-lez-Beaupré;18/02/2024 10:21;100;100;;0;0;0;;;;;Estimées;;;Non;0;0;0;
2024;561;06;06050;Coursegoules;18/02/2024 12:04;2000;0;2000;0;0;0;;;;;Estimées;1;Malveillance;Non;;;;
2024;590;2B;2B051;Cambia;18/02/2024 12:08;50000;0;50000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;440;04;04237;Le Vernet;18/02/2024 18:27;500;500;0;0;0;0;;;;;Estimées;;Involontaire (travaux);Non;;;;
2024;591;2B;2B036;Bigorno;18/02/2024 19:32;30000;0;30000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;19311;13;13094;Saint-Étienne-du-Grès;19/02/2024 10:06;60;60;0;0;0;0;;;;;Mesurées;1;;Non;;;;
2024;19312;13;13058;Maussane-les-Alpilles;19/02/2024 13:56;2000;2000;0;0;0;0;;;;;Estimées;1;Involontaire (travaux);Non;;;;
2024;673;04;04081;Esparron-de-Verdon;19/02/2024 14:05;18300;18300;0;0;0;0;;;;;Mesurées;6;Involontaire (travaux);Non;;;;
2024;649;34;34058;Castries;19/02/2024 15:30;852;852;0;0;0;0;;;;;Estimées;1;Malveillance;Non;;;;
2024;18972;30;30114;Fontanès;19/02/2024 17:17;2433;2433;0;0;0;0;;;;;Mesurées;;;Non;;;;
2024;27217;2A;2A004;Ajaccio;20/02/2024 09:06;4;0;4;0;0;0;;;;;Estimées;;;Non;;;;
2024;592;2B;2B260;Riventosa;20/02/2024 09:21;200;0;200;0;0;0;;;;;Estimées;;;Non;;;;
2024;566;66;66233;Vivès;20/02/2024 11:16;1000;1000;0;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;567;66;66108;Millas;20/02/2024 11:45;3000;3000;0;0;0;0;;;;;Estimées;;;Non;;;;
2024;27216;2A;2A200;Palneca;20/02/2024 12:48;700;0;700;0;0;0;;;;;Mesurées;;;Non;;;;
2024;595;2B;2B280;Silvareccio;20/02/2024 15:02;15000;0;15000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;571;66;66003;Amélie-les-Bains-Palalda;20/02/2024 16:00;800;800;0;0;0;0;;;;;Estimées;;Malveillance;Non;;;;
2024;20596;11;11198;Laure-Minervois;20/02/2024 17:03;5;0;5;0;0;0;;;;;Mesurées;1;Involontaire (particulier);Non;;;;
2024;640;34;34062;Caussiniojouls;20/02/2024 19:07;5479;0;5479;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;562;06;06031;Cantaron;21/02/2024 10:11;5000;0;5000;0;0;0;;;;;Estimées;4;Accidentelle;Non;;;;
2024;600;2B;2B318;Taglio-Isolaccio;21/02/2024 12:04;120000;0;120000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;638;34;34245;Saint-Chinian;21/02/2024 15:11;22526;22526;0;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;578;66;66179;Saint-Laurent-de-Cerdans;21/02/2024 17:38;30;30;0;0;0;0;;;;;Estimées;;Malveillance;Non;;;;
2024;27218;2A;2A359;Zicavo;21/02/2024 18:33;40;0;40;0;0;0;;;;;Mesurées;;;Non;;;;
2024;580;66;66216;Trilla;21/02/2024 21:29;2290;0;2290;0;0;0;;;;;Mesurées;;Malveillance;Non;;;;
2024;605;2B;2B205;Patrimonio;22/02/2024 18:19;1500;0;1500;0;0;0;;;;;Estimées;;;Non;;;;
2024;18747;2B;2B302;San-Giovanni-di-Moriani;23/02/2024 01:06;80000;0;80000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;18748;2B;2B343;Venzolasca;23/02/2024 07:53;100;0;100;0;0;0;;;;;Estimées;;;Non;;;;
2024;18749;2B;2B205;Patrimonio;23/02/2024 11:26;500;0;500;0;0;0;;;;;Estimées;;;Non;;;;
2024;18750;2B;2B245;Porri;23/02/2024 13:51;40000;0;40000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;18755;2B;2B242;Poggio-Mezzana;24/02/2024 06:44;3150;0;3150;0;0;0;;;;;Estimées;;;Non;;;;
2024;612;34;34269;Saint-Jean-de-Minervois;24/02/2024 10:34;5;5;0;0;0;0;;;;;Estimées;;Malveillance;Non;;;;
2024;18756;2B;2B242;Poggio-Mezzana;24/02/2024 11:45;1000;0;1000;0;0;0;;;;;Estimées;;;Non;;;;
2024;611;34;34218;Prades-sur-Vernazobre;24/02/2024 12:32;827;827;0;0;0;0;;;;;Mesurées;;Malveillance;Non;;;;
2024;18757;2B;2B265;Rutali;24/02/2024 12:37;3500;0;3500;0;0;0;;;;;Estimées;;;Non;;;;
2024;18758;2B;2B234;Piobetta;24/02/2024 13:17;20;0;20;0;0;0;;;;;Estimées;;;Non;;;;
2024;18759;2B;2B281;Sisco;24/02/2024 14:14;20;0;20;0;0;0;;;;;Estimées;;;Non;;;;
2024;19314;13;13092;Saint-Chamas;24/02/2024 14:29;50;50;0;0;0;0;;;;;Estimées;1;;Non;;;;
2024;20612;11;11210;Luc-sur-Orbieu;24/02/2024 17:45;25;0;25;0;0;0;;;;;Mesurées;1;Accidentelle;Non;;;;
2024;18760;2B;2B230;Piève;26/02/2024 12:17;2000;0;2000;0;0;0;;;;;Estimées;;;Non;;;;
2024;19366;74;74031;Beaumont;27/02/2024 11:34;50;50;;0;0;0;;;;;Estimées;;Involontaire (travaux);Non;;;;
2024;28831;07;07187;Prunet;28/02/2024 15:24;3000;3000;0;0;0;0;;;;;Estimées;3;Involontaire (travaux);Non;;;;
2024;19315;13;13067;Orgon;29/02/2024 13:14;150;150;0;0;0;0;;;;;Estimées;1;Involontaire (particulier);Non;;;;
2024;20620;11;11144;Fitou;29/02/2024 17:59;15;0;15;0;0;0;;;;;Mesurées;;Accidentelle;Non;;;;
2024;27802;84;84123;Sault;02/03/2024 13:27;10100;7300;0;0;0;2800;;;;;Mesurées;;;Non;;;;
